,text,intent,length
5650,the thing be,Non_hope_speech,3.0
20891,religious what religion,Non_hope_speech,3.0
20894,if you notice,Non_hope_speech,3.0
6190,dr retarded exactly,Non_hope_speech,3.0
20898,hi from russia,Non_hope_speech,3.0
5667,game good point,Non_hope_speech,3.0
6188,best comment ever,Non_hope_speech,3.0
13849,ww britian china,Non_hope_speech,3.0
5686,observation either or,Non_hope_speech,3.0
14543,she be god,Non_hope_speech,3.0
6178,no offence intend,Non_hope_speech,3.0
14539,that be right,Non_hope_speech,3.0
1118,intoy yash spesifically,Non_hope_speech,3.0
13906,she look incredible,Non_hope_speech,3.0
14349,edward thank you,Non_hope_speech,3.0
13948,great big story,Non_hope_speech,3.0
13957,condemn their mother,Non_hope_speech,3.0
14133,she be incredible,Non_hope_speech,3.0
1191,she look great,Non_hope_speech,3.0
6068,black nationalism dpsdps,Non_hope_speech,3.0
14125,and you be,Non_hope_speech,3.0
21072,that be girl,Non_hope_speech,3.0
14025,richard oh yes,Non_hope_speech,3.0
14106,congrat on sub,Non_hope_speech,3.0
14102,jezus they can,Non_hope_speech,3.0
6004,we be individual,Non_hope_speech,3.0
1178,but in reality,Non_hope_speech,3.0
14099,such horrible story,Non_hope_speech,3.0
6056,you really cool,Non_hope_speech,3.0
21090,mia nic well,Non_hope_speech,3.0
14081,there be house,Non_hope_speech,3.0
6051,its spell patron,Non_hope_speech,3.0
5968,itas news channel,Non_hope_speech,3.0
1318,more than people,Non_hope_speech,3.0
5963,for those say,Non_hope_speech,3.0
5957,be totally right,Non_hope_speech,3.0
5849,put it back,Non_hope_speech,3.0
1232,support and remember,Non_hope_speech,3.0
1230,be inspire right,Non_hope_speech,3.0
14314,fish keeper amen,Non_hope_speech,3.0
5876,i be sorry,Non_hope_speech,3.0
21146,all live matter,Hope_speech,3.0
21022,dumse pedophilia then,Non_hope_speech,3.0
13991,love that sheriff,Non_hope_speech,3.0
14238,crystal reason of,Non_hope_speech,3.0
1150,how about chicago,Non_hope_speech,3.0
14216,bristol be disappointing,Non_hope_speech,3.0
5938,great job sheriff,Non_hope_speech,3.0
14005,white live matter,Non_hope_speech,3.0
14007,iam unknown well,Non_hope_speech,3.0
5943,total closet case,Non_hope_speech,3.0
14173,all live matter,Non_hope_speech,3.0
5619,boi i know,Non_hope_speech,3.0
13829,defend the police,Non_hope_speech,3.0
13824,hayden hillman why,Non_hope_speech,3.0
1058,it be girl,Non_hope_speech,3.0
13577,in my opinion,Non_hope_speech,3.0
20777,chel me too,Non_hope_speech,3.0
14974,shea young girl,Non_hope_speech,3.0
14053,love sheriff clarke,Non_hope_speech,3.0
20789,imma quote that,Non_hope_speech,3.0
13599,please protest safely,Hope_speech,3.0
5436,protest on sunday,Non_hope_speech,3.0
5451,with bad jollof,Non_hope_speech,3.0
5456,wilson very true,Non_hope_speech,3.0
14936,because that racist,Non_hope_speech,3.0
20802,someone get shoot,Non_hope_speech,3.0
5475,matter to whomd,Non_hope_speech,3.0
14907,do not know,Non_hope_speech,3.0
20810,the stupid dem,Non_hope_speech,3.0
14995,asian life matter,Non_hope_speech,3.0
13636,in their mind,Non_hope_speech,3.0
20775,such fake sentiment,Non_hope_speech,3.0
21269,wow thatas girl,Non_hope_speech,3.0
20743,mugieq its curse,Non_hope_speech,3.0
13518,timothy kimmel yeah,Non_hope_speech,3.0
5345,protty be puppet,Non_hope_speech,3.0
15108,ricky norton blm,Non_hope_speech,3.0
15094,punchethan to what,Non_hope_speech,3.0
15083,lyfe for what,Non_hope_speech,3.0
15081,floyd be criminal,Non_hope_speech,3.0
15071,unknowncreature damn bro,Non_hope_speech,3.0
5376,pard yes exactly,Non_hope_speech,3.0
5380,be alive exactly,Non_hope_speech,3.0
5393,tagerius it isnat,Non_hope_speech,3.0
5403,nation okay yeah,Non_hope_speech,3.0
15017,love her always,Non_hope_speech,3.0
20771,filthy disgusting lefti,Non_hope_speech,3.0
15011,thatas true actually,Non_hope_speech,3.0
6365,it be she,Non_hope_speech,3.0
15152,umm next season,Non_hope_speech,3.0
13642,all non africans,Non_hope_speech,3.0
20813,egyptians accept it,Non_hope_speech,3.0
1335,black life matter,Non_hope_speech,3.0
14759,microaggression rampant sexism,Non_hope_speech,3.0
6268,big thumb up,Non_hope_speech,3.0
14729,they do but,Non_hope_speech,3.0
13703,she on pill,Non_hope_speech,3.0
6263,ngongo that lie,Non_hope_speech,3.0
13705,sarab while true,Non_hope_speech,3.0
5584,conversion therapy be,Non_hope_speech,3.0
5597,on second thought,Non_hope_speech,3.0
13710,mix of brainwash,Non_hope_speech,3.0
14696,this be amazing,Non_hope_speech,3.0
1324,it be girl,Non_hope_speech,3.0
13762,as she age,Non_hope_speech,3.0
20851,very well present,Non_hope_speech,3.0
13801,that so sweet,Non_hope_speech,3.0
1089,include you fire,Non_hope_speech,3.0
6309,cry through it,Non_hope_speech,3.0
6271,against sound fair,Non_hope_speech,3.0
6281,that enough ava,Non_hope_speech,3.0
21240,you misspell shot,Non_hope_speech,3.0
14897,thank for sharing,Non_hope_speech,3.0
5497,just say this,Non_hope_speech,3.0
5518,ditto from boston,Non_hope_speech,3.0
6300,these arenat kid,Non_hope_speech,3.0
14854,the kid at,Non_hope_speech,3.0
6298,rioter and animal,Non_hope_speech,3.0
5544,survivor bit much,Non_hope_speech,3.0
13662,lucia sykes respectively,Non_hope_speech,3.0
5545,and the voice,Non_hope_speech,3.0
13673,dawson perfect explanation,Non_hope_speech,3.0
14791,queen of pop,Non_hope_speech,3.0
20836,be this buzzfeed,Non_hope_speech,3.0
6283,steven grow up,Non_hope_speech,3.0
1338,and year later,Non_hope_speech,3.0
1086,cat live matter,Non_hope_speech,3.0
14462,all live matter,Hope_speech,3.0
16055,red and yellow,Non_hope_speech,3.0
15826,that be just,Non_hope_speech,3.0
19689,world and again,Non_hope_speech,3.0
19690,goof for him,Non_hope_speech,3.0
18130,be this gayjacking,Non_hope_speech,3.0
18128,they be oppressed,Non_hope_speech,3.0
19699,american patriot dpsdpsdpsdps,Non_hope_speech,3.0
18109,year from now,Non_hope_speech,3.0
3224,justice will prevail,Non_hope_speech,3.0
18073,whatas corona virus,Non_hope_speech,3.0
19730,but honestly tho,Non_hope_speech,3.0
18170,must watch may,Non_hope_speech,3.0
3269,every year racism,Non_hope_speech,3.0
19744,zolik agree with,Non_hope_speech,3.0
18015,he really do,Non_hope_speech,3.0
3286,holy shit sheriff,Non_hope_speech,3.0
18009,its not racist,Non_hope_speech,3.0
19756,add first off,Non_hope_speech,3.0
17955,very politically unsophisticated,Non_hope_speech,3.0
17934,this interview suck,Non_hope_speech,3.0
19766,all life matter,Hope_speech,3.0
17920,carebear white what,Non_hope_speech,3.0
3273,blm be cancer,Non_hope_speech,3.0
2123,sunshine littlephilly hello,Non_hope_speech,3.0
18187,i second that,Non_hope_speech,3.0
3144,it istn about,Non_hope_speech,3.0
3035,shut up biatch,Non_hope_speech,3.0
18374,i know lol,Non_hope_speech,3.0
18363,be totally right,Non_hope_speech,3.0
18328,when they say,Non_hope_speech,3.0
18325,corvus corax also,Non_hope_speech,3.0
18324,raphael taylor nthanks,Non_hope_speech,3.0
18316,when she say,Non_hope_speech,3.0
2217,democrats be crook,Non_hope_speech,3.0
3098,hall what shower,Non_hope_speech,3.0
3157,cuff my sweater,Non_hope_speech,3.0
3099,i hate it,Non_hope_speech,3.0
18288,adore this woman,Non_hope_speech,3.0
18254,only victim asian,Non_hope_speech,3.0
18245,cal gary beautiful,Non_hope_speech,3.0
19653,yeah as christian,Non_hope_speech,3.0
18237,and david dorn,Non_hope_speech,3.0
18228,for news man,Non_hope_speech,3.0
19657,jasper nova congratulation,Non_hope_speech,3.0
3137,that funny stuff,Non_hope_speech,3.0
18221,the black excuse,Non_hope_speech,3.0
19630,muslim feminist oxymoron,Non_hope_speech,3.0
3362,to paraphrase heine,Non_hope_speech,3.0
2113,verypoliticalhonkey um ok,Non_hope_speech,3.0
17868,abolish qualified immunity,Non_hope_speech,3.0
3541,palestinian life matter,Non_hope_speech,3.0
17643,kiddcampbell me too,Non_hope_speech,3.0
3548,didnat expect thatt,Non_hope_speech,3.0
19853,white good point,Non_hope_speech,3.0
3549,this be joke,Non_hope_speech,3.0
3553,he hate indians,Non_hope_speech,3.0
3554,they be marxist,Non_hope_speech,3.0
17627,gay wrong though,Non_hope_speech,3.0
