,text,intent
35,when you have turn off the reasonable people,Non_hope_speech
36,right that be what he say You have it all right,Non_hope_speech
37,she be not He be,Non_hope_speech
38,the tea sis and that the tea,Non_hope_speech
39,white life matter be consider racist as hell so why be not black life matter racist also,Non_hope_speech
40,the whole thing be joke lol all black life matter and the democrats be laugh at the sucker follow them down the path to socialism crush black life matter all lives MATTER Its political move by the democratic socialist party MAGA the media be tell and show you what the dem want them to except Fox News good job,Non_hope_speech
41,Sunshine littlephilly I canat even imagine how your thought process work do you not have the capability to shape your own opinion especially on topic that do in fact hurt homosexual people whether you believe they should be harm or not have nothing to do with it when you publicly state person be wrong for just live their life,Non_hope_speech
42,but Sadism be not evil be it unless you be sadistic to unwilling participant Alot what consider evil now day depend actually more or less on your perspectiv of what happen if be to hit dog,Non_hope_speech
43,and short short haira,Non_hope_speech
44,no im black and im upset by what Ive see It do nobody any good,Non_hope_speech
45,it do not matter what your family do when you want to make career for yourself what matter be what you can or will do you be in no well position then the who come from poor family and also want to be video game developer,Hope_speech
46,all live matter every life fucking matter,Non_hope_speech
47,I think I be watch recent video but this be year ago but here we be again and the same thing be go to happen,Non_hope_speech
48,where have this Sheriff be,Non_hope_speech
49,the medium and crooked politician whip this up We have to get rid of the lot of them with the ballot,Non_hope_speech
50,he be do just fine before the police officer keep his knee on his neck for minute and second,Non_hope_speech
51,Bernie never live in the hood I would like to see him walk the street,Non_hope_speech
52,black live matter and not all livesnwhat hypocrat,Non_hope_speech
53,the lesbian disagree with homosexuality tho poor thing be prolly insecure abt it,Non_hope_speech
54,Police be already kill people,Non_hope_speech
55,no liberal think that lmao,Non_hope_speech
56,Grasielle Alison ha another mom joke,Non_hope_speech
57,Can you guy stop harass that girl for her haircut seriously She doesnat agree with homosexuality but she respect it the least you could do be respect her back,Non_hope_speech
58,jazzfan when I read your comment it sound kind of dumb and racist You act like only white people be slay only black people daily,Non_hope_speech
59,I beg they just put it straight back up,Non_hope_speech
60,agree It be straight up abuse in all format,Non_hope_speech
61,so do Sheas clearly groom herself and behave in more masculine manner lol when she say she didnat agree I be like you donata,Non_hope_speech
62,Rebekah well its hompohobic comment therefore it suck,Non_hope_speech
63,Chloe Faye I mean they be there to hear his story,Non_hope_speech
64,certainly herd mentality,Non_hope_speech
65,Sasha Dumse God accept everyone,Hope_speech
66,I would have ask him if hea watch abut Iam cheerleadera,Non_hope_speech
67,I feel so base for that guy They treat him as if he wasnat human just because of who he love dY,Hope_speech
68,american life matter,Non_hope_speech
69,stage set up for the come race war still hilarious though dPS,Non_hope_speech
70,the interviewer be hot,Non_hope_speech
71,I be so glad that you make your toy I would not have extend my love for science I feel like I do not fit in at school sometimes,Hope_speech
72,how can all life matter if black life arenat,Non_hope_speech
73,You be so right and white be color,Non_hope_speech
74,I be so proud for her,Hope_speech
75,We be ready meaning black people be ready for anything,Non_hope_speech
76,what exactly do you want,Non_hope_speech
77,She save live with her music,Hope_speech
78,that would be uhh pure mean yes,Non_hope_speech
79,Walker rly sorry for be so mean,Non_hope_speech
80,Santiago Cr but she can move her mouth,Non_hope_speech
81,evil I donat think so what crazy statement to say about her,Non_hope_speech
82,all live should matternbut black life do not seem to MatternThat why there be Black Lives Matter Movement nunderstande,Non_hope_speech
83,because that be therapy must know the truth have,Non_hope_speech
84,house,Non_hope_speech
85,I be glad Madonna know there be market for ORIGINALITY BRILLIANCE beyond american border globally They consider her legend who once again shake it up and reinvent herself beautiful girl,Non_hope_speech
86,these kid be amazing,Non_hope_speech
87,I couldnat tell if it be boy or girl,Non_hope_speech
88,all human matter what with labeling color dog matter cat matter bee matter tree matter Americans matter,Hope_speech
89,clearly you have no idea who be on the side of status quo,Non_hope_speech
90,the return of the Zulus,Non_hope_speech
91,now let us mention the black name that fall Victims in the hand of protester the Black Owners protect their business who be go to protest for them BLM only care when white cop be involve but turn the blind eye when they be the one responsible FACTS,Non_hope_speech
92,yes all live matter Its simple to understand its not only that if the political party have common interest in their own country,Non_hope_speech
93,Human shut eup,Non_hope_speech
94,bts KIM namjoon China be try to pass national anthem bill which criminalise people who make fun of it It also mandate that the chinese anthem be teach in school this stifle their freedom,Non_hope_speech
95,talk about white privillege while black people get love from everybody while white people get boo,Non_hope_speech
96,I donat even get why white even support BLM they ainat even black,Non_hope_speech
97,the thing that she have do be magnificent She have personally flewn to Mexico to buy her friend some medicine for aidsthis be not your everyday type of woman she so intelligent too I donat think shea appreciate enough,Hope_speech
98,that little girl be wake,Non_hope_speech
99,the majority of RACISTS in this country are BLACK empower by RACIAL leave DEMOCRATS,Non_hope_speech
100,FBLM TAG the BATHROOM walls around the world,Non_hope_speech
101,only race the Human Race,Hope_speech
102,there be no such thing as god,Non_hope_speech
103,but many news medium outlet would paint you as the villain,Non_hope_speech
104,I do not see what the big fuss be just add the modifi also to your slogan Black Lives also Matter if that be not your intent,Non_hope_speech
105,Could have get some good scrap metal money out of that,Non_hope_speech
106,all live matter and to say they donat be REAL RACISM,Non_hope_speech
107,exactly They be not fight for equality,Non_hope_speech
108,Juan Williams should be eject into space,Non_hope_speech
109,when read peaceful spat my coffee out lol,Non_hope_speech
110,Sheriff David Clarke be the embodiment of what I consider to be true man He have my respect,Non_hope_speech
111,that be wat they want,Non_hope_speech
112,David Clark be the absolute worst thank you for leave Milwaukee,Non_hope_speech
113,against ya that be fair and balanced LOL hannity I can not take seriously his show be well than SNL It be clown show,Non_hope_speech
114,if they have black who can speak Chinese,Non_hope_speech
115,all live matter period Nuff say peace,Non_hope_speech
116,Srbin dPS why do not you stick to European Afairs and do not worry about what I like and dislike last time I check in be Caucasians from Europe that bring many people from Africa We do not ask to come here why do not you go to Mexico,Non_hope_speech
117,ugh God how I hate that girl cause of everything she say ai do not agree with homosexualitya what be go on with her mind,Non_hope_speech
118,right she try to hide it,Non_hope_speech
119,My mom teach high school physics,Hope_speech
120,Himmelright but madonna want to be young She remind me of Meryl Streep in the movie death become her,Non_hope_speech
121,the bible do not condemn all judge John,Non_hope_speech
122,People need to blame themselves for their own selfish bad behaviour,Hope_speech
123,this comment should have more like,Non_hope_speech
124,but trump have help black people so much,Non_hope_speech
125,only Juan do not make sense here the reason be that he and most leftist be ideologically possess It do not matter how illogical or awkward their position may be,Non_hope_speech
126,no he can not,Non_hope_speech
127,threatend by who exactlythe black community suffer from mostly black on black crime yet there be no riot about that,Non_hope_speech
128,woman who dress with man clothe and do not agree with homosexuality ok that coherent lol,Non_hope_speech
129,davisnmy book I have several what do you mean,Non_hope_speech
130,Eris Bell be tall wasnat choice,Non_hope_speech
131,bernie fan here God I be so disappointed in his response I swear I fuck in hate the black life matter movement,Non_hope_speech
132,why do she sound so tired and frail and weak nowwaday I know she be old and be likely tired with raise all those kid,Non_hope_speech
133,Sheeple yes you be,Non_hope_speech
134,perhaps the star of david or merkabah,Non_hope_speech
135,He just hero that inspirational,Non_hope_speech
136,the person in the burgundy do not agree with homosexuality but look the gay lmao not to be rude,Non_hope_speech
137,any group that reinforce who you must be who be deserve such devotion Madonna be really wonderful woman to some people,Hope_speech
138,He be the man,Non_hope_speech
139,shameful behaviour the police should have act oh wait,Non_hope_speech
140,Sheriff and larry black on the outside white on the inside Sheriff and Larry bend over for Trump,Non_hope_speech
141,I can see the reasoning for why it may be inconsiderate to say aAll live mattera with whatas happen and everything surround that,Non_hope_speech
142,guy be yell that Annie be probably lesbian nnI swear for sec it think she be boydPSdPSdPS,Non_hope_speech
143,mess well aLwAyS sAvE the day,Non_hope_speech
144,this make me cry so many thing in contemporary christian culture be such horrid distortion of what Christianity be mean to be what that boy say about choose to love thatas what Christianity be about,Hope_speech
145,It be go full circle like an Ouroboros for these sjw,Non_hope_speech
146,that SHERIFF for President,Non_hope_speech
147,I just waste min watch people discuss which live matter and how to say it itas just distraction from the reality that anti black racism be not common place in America why should I take anyone who canat see past that seriously,Non_hope_speech
148,Heall yes Whoop Whoop,Non_hope_speech
149,Should have break and destroy the statue before throw it down the river,Non_hope_speech
150,so pull statue out be go to re write the past be it mindless fool It would be different if there still be slavery in Bristol but the present have move on from the past and these moronic individual need to also,Non_hope_speech
151,Democrats horre for vote that be the truth right in your face,Non_hope_speech
152,I have never understand homophobe like itas just hatred not justify by an old book that you worship and interpret literally itas gross,Non_hope_speech
153,capitalism be the idea of create product that solve problem You can not solve that problem if you do not create decipherable marketable label for the consumer who have that problem It totally see colour and race,Non_hope_speech
154,have you ever meet anyone who be lgbtnme,Non_hope_speech
155,do black life in the womb matter,Non_hope_speech
156,this simple man panel could get together with Donald Trump and completely solve this age old problem at hand They all have experience,Non_hope_speech
157,nothing else matter Metallica,Non_hope_speech
158,Senator Sanders be for socialism let us suspend his US citizenship,Non_hope_speech
159,take knee be pretty appropriate come from democrats and sjw npandering and placate without question the motive and agenda from BLM be dangerousnThere be nothing more dangerous than sincere ignorance and conscientious stupidityn Martin Luther King Jr,Non_hope_speech
160,Jason so who do you think the Democrats be,Non_hope_speech
161,when woman be fight for their right there be man scream,Non_hope_speech
162,Itas like Martin Luther King Junior fight for his poeple and even he die becuse they didint want him and know this world be change and We pray for all Poeple and black Poeple and White Poeple to be more nice,Non_hope_speech
163,I be so glad that Clark be no longer in power of anything,Non_hope_speech
164,all life do matter and we can do much well job of display this and encourage another to know our worth nLet us continue to fight to end human trafficking and support everya survivor nTo support my fundraising effort with the Araminta Race against Traffick,Non_hope_speech
165,because they recieve trauma that lead to mental illness and have high suicide rate,Non_hope_speech
166,do Mahomet own slave if so the reading of Koran should be forbiddennwhat about Krishna and Rama They be ruler when slavery be rampant,Non_hope_speech
167,I hope Satan come to earth to kill everyone,Non_hope_speech
168,so all life donat matter just black life yea that make lot of sense,Non_hope_speech
169,They want to make africa out of america,Non_hope_speech
170,BBC Censored if you support BLM youare just support democracy all life matter,Non_hope_speech
171,say Cheese do not make hasty conclusion You do not know me well in order to make such statement They protect their right how,Non_hope_speech
172,You be still young maybe you can try,Hope_speech
173,your local hufflepuff imagine thinking someonea sexual orientation base on what they wear,Non_hope_speech
174,Max OBrian I canat seem to find where anyone ask for your opinion,Non_hope_speech
175,They stand by and watch and their mayor be pleased with them,Non_hope_speech
176,awesome not only that you have create engineer,Hope_speech
177,have never hear more perfect answer to the question than that sheriff well say sir and thank you for your service,Non_hope_speech
178,People be gettin mad because statue of slave trader be take down realracist,Non_hope_speech
179,kay thatvright white live matter cop matter,Non_hope_speech
180,thank you someone have to say it,Non_hope_speech
181,Paul I do not think you actually read my statement I do not say you should now change the slogan from blm to alm it be mildly annoying to say the least,Non_hope_speech
182,I never understand racism I grow up think whatas the problem with with different colored human theyare literally the same but different colorsnTo this day I still donat know why people think race of human be well than another race when theyare exactly specie,Hope_speech
183,white life do not matter than black life do not matter either understand You either be racist or you be not own it,Non_hope_speech
184,the bible be book write by man,Non_hope_speech
185,We all bleed the same,Hope_speech
186,She be wear the monogram of Catherine the great with II through it with crown above,Non_hope_speech
187,I be go to tell you this most be,Non_hope_speech
188,bruh these LGBT people get to chill with this little girl,Non_hope_speech
189,injustice anywhere be threat to justice everywherenBLM when people mention chineese slavesn,Non_hope_speech
190,athat would be just pure meana aw love this kiddo she make my day,Non_hope_speech
191,David Clarke need to get into politic this be turn into the Brexit debate if you disagree with me you do not understand sophisticated politic,Non_hope_speech
192,His barber be Tay Keith,Non_hope_speech
193,Fauna Leftists have already remove history teach from school and replace it with their agenda drive pathology I be th grader who see be it first hand,Non_hope_speech
194,do you know how many time in history these description have happen do you think this be bad than the holocaust the Bible give guidance that we will not know the day and hour but the end will come like thief in the night do not quote scripture to predict when you think the world will end just ask Hal Lindsey People have be predict the end with scripture for the last year,Non_hope_speech
195,skinny dicc boo at aall live mattera and awhite life mattera but say yaall want equality doesnat make sense,Non_hope_speech
196,aI donat agree with home sexual alitya,Non_hope_speech
197,Arreola exactly,Non_hope_speech
198,do she need to repeat it what do not you understand,Non_hope_speech
199,KG Dave Chappell story of fame,Non_hope_speech
200,good luck InshAllah it will be very rewarding journey,Non_hope_speech
201,I agree that there be some bad cop yes I will admit it but most be good I agree George should not have be kill but it seem the cop just over estimate his strength,Hope_speech
202,Her physical exterior appear that way to my judgement I know that alone be not sufficient,Non_hope_speech
203,why be these people even here,Non_hope_speech
204,thank Debbie for be an inspiration,Non_hope_speech
205,so censor so if you even hint of ppl from the middle east that own this channel get censor,Non_hope_speech
206,how bout we stop say black life matter or all life matter let us just all agree LIVES MATTER idc if you frog human purple dude in banana costume,Non_hope_speech
207,Slima do ya know these involuntary slave,Non_hope_speech
208,what do the amarican people mi in their head that when an important problem like black life matter be speak about they change it into all life matter and than they do not realise how big of an insult that be for the black people and their problem of the last year for the next year it be the black people who have the saying in the world that just fair and I be white male,Non_hope_speech
209,love the police man too good too honest,Non_hope_speech
210,be you black no do you know how we feel no get grip brainless ashly,Non_hope_speech
211,some me to,Non_hope_speech
212,Blm we never say only blm yaall twist af,Non_hope_speech
213,it be choice just admit it I hope you have realize how dumb what you just say really be,Non_hope_speech
214,She be forever do what keep her in the public eye,Non_hope_speech
215,matthew Jesus be real know Him He bring me back from deaf,Non_hope_speech
216,how be you now,Non_hope_speech
217,owen eiffel do you watch the video,Non_hope_speech
218,David McDonial that shame They way you react tell me other wise but ur not the only person in the world who lie to themselfs Its common I forgive you,Non_hope_speech
219,nespecially when they be actually do those thing,Non_hope_speech
220,the sheriff speak the truth,Non_hope_speech
221,kid in the closet play hide go seek and then be come out of it how the world should be,Non_hope_speech
222,We never say all life do not matter We be say all life matter but ours the country be found on pure racism and power so what we should turn the other check and do not come with that what about black on black crime bs because I have never take the live of black man or any man for that matter Most white live their life in bubble completely numb to want go outside of your own white skin,Non_hope_speech
223,Walker what do Jesus say about homosexuality,Non_hope_speech
224,oh just shut up all live will matter when black live will matter,Non_hope_speech
225,white people be not die Bc of police brutality and racial profiling,Non_hope_speech
226,tvblogspot that be their secret I can neither confirm or deny but what I can say be with eternal long life come many heart break sufferingnnProof,Non_hope_speech
227,I be cross my finger that they all wake up tomorrow with bit of cough,Non_hope_speech
228,say black life matter be Racist,Non_hope_speech
229,I spend half the video try to figure out how this man be conversion therapist in any way and then I read the title again,Non_hope_speech
230,you have encourage me thank you for share,Hope_speech
231,busterud as long as this nation remain Godless,Non_hope_speech
232,actually I think he she mean or vs be,Non_hope_speech
233,My gaydar go off as soon as she come on screen,Non_hope_speech
234,THATS my word rabble rouser,Non_hope_speech
235,I wish that all of them know that there name be say every single day nnJusticeForGeorgeFloyd,Non_hope_speech
236,agree what PEOPLE feel you NEED HUSBAND and WIFE in LOVE to raise child or child,Non_hope_speech
237,many be agrresive,Non_hope_speech
238,athat would be just pure meana,Non_hope_speech
239,because it wash good thing,Non_hope_speech
240,and now you have AIDS,Non_hope_speech
241,Taylor when do I ever reply to someone not do that,Non_hope_speech
242,can I have an african race base scholarship then if african americans have be so repressed if they can not say all life matter they be plan genocide again,Non_hope_speech
243,be not we all human why do you divide people into race eugenic,Non_hope_speech
244,Asian American have the high median household income so no,Non_hope_speech
245,america be slowly turn in to idiocracy lol,Non_hope_speech
246,my first thought be annie be weird name for boy because seriously think that be boy,Non_hope_speech
247,marquez shoulder this be the weak point I have ever see also you just present what kind of level and person you be,Non_hope_speech
248,actually there have be very few case of it work,Non_hope_speech
249,We should not have statue of racist in our country,Non_hope_speech
250,top check out Owen Benjamin the earth can be discuss bitnot homosexuality or abortion do not Jesus walk through wall,Non_hope_speech
251,now it be time to focus on,Non_hope_speech
252,all live MATTER im from the SEYCHELLES we have different type of PEOPLE,Hope_speech
253,dem do not listen or be not smart enough to undrtstand truth,Non_hope_speech
254,Can make machine that cook delicious food so do not have to,Non_hope_speech
255,defend the Police they defend all life,Non_hope_speech
256,Love Sheriff Clark,Non_hope_speech
257,Gross you realize that simply not like someone for their personality vs not like someone for something like race,Non_hope_speech
258,LilaThe real thatas underrated,Non_hope_speech
259,the thing be weare not go to get anywhere say BLACK live matter,Non_hope_speech
260,great german singer write Song about that check it out on YouTube black life matter amadeu,Non_hope_speech
261,unfortunately life do not matter anymore,Non_hope_speech
262,please read through my comment I have say numerous time that we be not under the law of Moses,Non_hope_speech
263,Jessica Walker SO then GOD be SHALLOW I mean I donat wanna offend you or anything but just because god say it doesnat mean itas okay,Non_hope_speech
264,Sam Garcia go look up what be go on in Uber and then come back to me,Non_hope_speech
265,sapphic Keira same,Non_hope_speech
266,cop here in Canada do not attack balck people but in the past they attack gay,Non_hope_speech
267,Guy Ritchie say she be drama queen go figure haha,Non_hope_speech
268,itas not about the hair lol,Non_hope_speech
269,Mia Lea Kahn oh so you want every human being to support you guy wow no wonder yaall ban,Non_hope_speech
270,do the short haired lesbian just say ai donat agree with like homosexualitya I be shake,Non_hope_speech
271,some screaming,Non_hope_speech
272,and our future rest on these kid Lid have mercy,Non_hope_speech
273,pray for what,Non_hope_speech
274,be that so England aid in the biafra war in the and help in the genocide of the igbo people to protect their oil investment in nigeria what about that stay out of Africa,Non_hope_speech
275,all live matter be NEVER question that be why it be annoying black community feel that their life do not matter that be why it be create so respond with black life with all life matter be imply that you do not stand with the black community,Non_hope_speech
276,I agree that it be probably hard for them but,Non_hope_speech
277,eternal lifea matter,Non_hope_speech
278,Ps there be well rubttle apon response of the final,Non_hope_speech
279,I can not believe what be see the police run away and get beat with stick and bottle what joke this be embarrassing and this have do no good for black people it have damage there reputation this have make them look violent and aggressive and now even more people will be racist towards them and also will dislike them as they have also cause nd wave of coronavirus which business and love one can not meet up now till all because of the protest,Non_hope_speech
280,Qwerty it be truenEvil main stream medium will be judge by God and so will the Hatred of BLM and antifa,Non_hope_speech
281,akinadownhillace salary of nurses,Non_hope_speech
282,do not worry I be christian and I be both tran and bisexual so yeah that be thing like God say man shall not lay with man but that be mistranslate its actually man shall not lay with boy mean pedophilia so homosexuality be not in the bible and religion should not stop people from love who they love yk,Hope_speech
283,Bennett and white woman,Non_hope_speech
284,anyone that vote Democrat that person be person that want genocide of the black american people,Non_hope_speech
285,when the debate be lose slander become the tool of the loser just know you expose this for the world to see I be out,Non_hope_speech
286,this be so inspiring to me nowadays many people doubt about woman become engineer but Iam sure next generation be go to make change Iam from Argentina and next year Iall finish high school and I will study environmental engineering,Hope_speech
287,also your research source be invalid,Non_hope_speech
288,if I ever have daughter I will buy them your toy,Non_hope_speech
289,He be get his uniform square away,Non_hope_speech
290,You be sheep,Non_hope_speech
291,annie seem like she be bi lesbian pan to me for some reason,Non_hope_speech
292,shea probably closet and her say she go to church be big giveaway her parent probably watch and she didnat want to say it,Non_hope_speech
293,Omg I love the sheriff and eld Juan use to be good but he be become an,Non_hope_speech
294,the council do not fail to at the council love slave trader,Non_hope_speech
295,around the World show Amsterdam,Non_hope_speech
296,Berg no that would not work,Non_hope_speech
297,yes let us not have statue of well know racist like Hitler on the street,Non_hope_speech
298,Faizal Alladina to ne honest know of her session musician in the state and he say she would regularly turn up with surgery tape etc etc at rehearsal actually have botox specialist visit the recording studio their you have it,Non_hope_speech
299,the bible be badly translate now it be,Non_hope_speech
300,BLM be Black Supremacy Movement and officialy awesome,Non_hope_speech
301,really She the most famous female artist and big selling in music history She be sincere and sweet and genuine here stay bitter,Non_hope_speech
302,sigh so you be the problem then,Non_hope_speech
303,agartha lartey what,Non_hope_speech
304,tell me why you do not hear people chant all life matter when it come to blue life matter I will tell you why,Non_hope_speech
305,My mom side of the family be strongly inclined towards number I get the bug for it too but I turn to humanity out of pettiness I feel like go back to school though,Non_hope_speech
306,We be all make in Godas image all live matter,Hope_speech
307,kennedy mensah ALM be anti blm because BLM be hate movement lead by self admit marxist activist,Non_hope_speech
308,who be she,Non_hope_speech
309,Tops Nobel peace prize nBut once again do not take God love and return hate or Madonna because you will end up push and live the dnc the party of death line where they herd the masse and make them unstable sinner to exploit nYouTube channel franciscanfriar nnTrump be not like but it be sin to vote dnc and cardinal have million pray the rosary for Hilliary defeat nnMadonna recently look different swear and act like revolutionary how be her family and husband anyone know Jesus Christ or Madonna choose can not have both sodomite,Non_hope_speech
310,She so brave Their be those who judge the less fortunate,Non_hope_speech
311,I will tell my child story about this year,Non_hope_speech
312,someone do not watch the video,Non_hope_speech
313,how well they take this,Non_hope_speech
314,aInjustice anywhere be threat to justice everywherea Martin Luther King Jr,Hope_speech
315,Parsons be that your nickname,Non_hope_speech
316,be lose we DIDNT CHOOSE to be BLACK we just GOT LUCKY,Non_hope_speech
317,I do not agree with homosexual ality lol the fuq try to say,Non_hope_speech
318,lol poor girl be get judge on her look leave and right,Non_hope_speech
319,may I ask why,Non_hope_speech
320,what do the important comment say,Non_hope_speech
321,your nut what planet do you live on clearly you be clueless about her,Non_hope_speech
322,for once Juan be not the bad,Non_hope_speech
323,I want to be engineer that have to do with tech that be my dream job I be only that be the job I be hope to work hard for still get couple year until I go to college but yeah any suggestion,Non_hope_speech
324,this be ridiculous no can have an open and free debate and discussion to say all life matter be perfectly reasonable yet be meet with derision all white politician be in fear and terror,Non_hope_speech
325,look it up the cop lose their job He die EXACTLY how George Floyd do down to the tee,Non_hope_speech
326,nobody say white lie do not matter but black ppl be be kill by the police not white,Non_hope_speech
327,I just hear insecurity be voice not single legit complain in this video man deal with the same stuff,Non_hope_speech
328,Worenwu all life mean we be all equal,Hope_speech
329,Ancient Soul oh Lord I do not think you will ever understand there be specific context in which the black live matter movement arise because black people be be kill and there be multiple incident of the same type of thing what exactly be the context for the all life matter movement and focus on the whole world It be only create as combatant otherwise it would not even exist no be blame white people We be say stop kill black people unjustly that be it obviously there be other problem go probably more important one too but be people not allow to stand up for themselves without be attack Would you not like to be able to stand up for yourself without be oppose that be all this be about but sadly I do not think you will be able to understand no matter which way I put it,Hope_speech
330,not be black popper be not in UK,Non_hope_speech
331,can not argue with that,Non_hope_speech
332,anarchy in the UK,Non_hope_speech
333,It be because if black life can not matter then all life do not matter that be why,Non_hope_speech
334,change for what Bombing yugoslavia and sign doma lol,Non_hope_speech
335,because it take second to find out that this be another pointless feminist aggression video without real content,Non_hope_speech
336,Topp and all orc should have be remove year ago and the population have now be remind of that fact,Non_hope_speech
337,Yo Iam and I be confusion what I be,Non_hope_speech
338,Hong Kong protest be not corporate sponsor so the NPC do not care,Non_hope_speech
339,kitty you fail to recognize that alm be relate to politic It be politicise,Non_hope_speech
340,He do not set anyone back,Non_hope_speech
341,vision oh honey no no no it have everything to do with it,Non_hope_speech
342,cute butch girl in maroon Your body language be tell story,Non_hope_speech
343,People have say statue of George should come down,Non_hope_speech
344,Shea no he be no kill because of his complexion you be wrong here my dear He do crime and be catch yes he be be handle incorrectly but it have nothing to do with his complexion please correct your understanding He be criminal,Non_hope_speech
345,chaos chaos itas great for rating right news media what disaster,Non_hope_speech
346,I canat believe this be something we have to ask ourselves in the first place,Non_hope_speech
347,baby in the womb donat matter just like God donat matter when they take God out of everything,Non_hope_speech
348,AlmostHumanJessi make sense I wasnat that smart when I post that,Non_hope_speech
349,not allow people send their own message unless they agree with you nope,Non_hope_speech
350,itas all just absolute riot heavy handed craziness this man also in the majority of his time give lot of money to the city include building school and hospital for Bristol tear down the statue be not go to change the fact that city be well that he be there than not at all,Non_hope_speech
351,Jasper Nova nCongratulations,Non_hope_speech
352,show dareal stuff funk dat,Non_hope_speech
353,Reality Macky,Non_hope_speech
354,currently in my th year,Non_hope_speech
355,Kratt kinda be not be it Mario da,Non_hope_speech
356,actually if you look at pic of her from early and now,Non_hope_speech
357,why I menat that love be love and if you donat believe that then go away we donat take hate here,Non_hope_speech
358,let us hope they all die,Non_hope_speech
359,whatever may say about Madonna these day,Non_hope_speech
360,why be it that the hundred of thousand of black infant whose life be terminate thru abortion be not important why again,Non_hope_speech
361,you fucking comunist comevsay it in my face,Non_hope_speech
362,why be we still talk about race issue Itas suppose to be white life matter,Non_hope_speech
363,the Home Secretary be stupid coolie,Non_hope_speech
364,wait really,Non_hope_speech
365,LOL demonstrate how disgraceful the UK Govt be look real good defend slave trader,Non_hope_speech
366,Romeo Alfa Yep but he have major connection to Bristol and he be infinitely worthy,Non_hope_speech
367,sponse by George Soros be behind all this,Non_hope_speech
368,Scumbag lifestyle the way in which person or group live,Non_hope_speech
369,the,Non_hope_speech
370,I be wait for the other minority group to demand their day of extra equality hispanic,Non_hope_speech
371,McFondle False Madonna be not superstar or any kind of star for that matter and above no Madonna be human an elderly human at that,Non_hope_speech
372,BJGvideos right like shea probably the old in the video and everyone else except her be so accepting when someoneas ignorant theyare ignorant and thatas that,Non_hope_speech
373,thank you and I think its only in AMERICA,Non_hope_speech
374,plantation politic excellent term rightly so leftist pandering for vote that will not come trump,Non_hope_speech
375,so cop be justify kill him Steve use your brain man,Non_hope_speech
376,Fox Called Scrappy Tail how You get here genesis,Non_hope_speech
377,walkway overpass bridge in Miami be build by female engineer with no arch,Hope_speech
378,what do they think hit kid with bible will do,Non_hope_speech
379,all live matter stop stealing and looting and the PO PO WILL leave you be be you crazy,Non_hope_speech
380,BLM do not care about black people unless it advance their marxist political agenda,Non_hope_speech
